,Velocity,Time,Distance
0,7331.853097247556,1.0024049282073975,7331.853097247556
1,7319.395498897292,2.0008740425109863,7308.190341021654
2,7314.418451381288,2.998114824295044,7294.236374751212
3,7316.7358559307195,4.003443002700806,7355.720729918952
4,7311.862622200896,5.008172035217285,7346.440658297315
5,7304.864108372786,6.014376878738403,7350.189647108272
6,7328.206991100064,7.0089709758758545,7288.591415949526
7,7310.828269828975,8.012420892715454,7336.050019388479
8,7317.7785184834065,9.012839078903198,7320.838712384807
9,7320.104289084005,10.017292976379395,7352.70728310265
10,7315.815208478258,11.017541885375977,7317.63618070098
11,7311.395951397606,12.027095079421997,7381.243135668597
12,7316.021124231229,13.033360958099365,7361.862424996724
13,7313.194573353182,14.03412413597107,7318.775841623032
14,7310.133766246015,15.042051076889038,7368.080764713495
15,7318.482791425181,16.044584035873413,7337.020208163715
16,7304.976581371845,17.049687147140503,7342.2546896700715
17,7312.47162263319,18.050617933273315,7319.277969816122
18,7326.88238103453,19.053541898727417,7348.305932002941
19,7315.536283314891,20.053324937820435,7313.9490979278
20,7307.935091524444,21.052124977111816,7299.165856553483
21,7316.066061210757,22.05630087852478,7346.617231813104
22,7317.324918041088,23.063687086105347,7371.3721988201905
23,7304.690390017459,24.06033492088318,7280.203860933339
24,7319.179653576566,25.06525492668152,7355.190059911254
25,7307.800019936087,26.067398071289062,7323.461692141822
26,7318.703389909616,27.068000078201294,7323.109299938913
27,7314.542997883076,28.069731950759888,7327.210854179764
28,7312.3870572456935,29.07223105430603,7330.661469671223
29,7312.614386466572,30.076072931289673,7340.708551368191
30,7311.526657922291,31.075469970703125,7307.11809552007
31,7317.44029632226,32.07795691490173,7335.638362015862
32,7311.898437002251,33.07604479789734,7297.917231666453
33,7309.00491916577,34.08655309677124,7385.8101273271795
34,7317.492383253907,35.08218193054199,7285.506407665448
35,7311.569808444334,36.083882093429565,7324.000668082552
36,7312.125847782861,37.08721113204956,7336.4681971243945
37,7308.767415090879,38.09239983558655,7346.6904424285785
38,7316.793330679624,39.09452700614929,7332.357398066329
39,7312.26909904193,40.09484815597534,7314.617432991116
40,7312.112692346811,41.10368585586548,7376.7349498846315
41,7314.992874535116,42.10268187522888,7307.64876333224
42,7311.541118229657,43.1068959236145,7342.3523062753275
43,7308.919127165047,44.11316990852356,7354.775175470403
44,7309.693363407283,45.111501932144165,7297.500967536503
45,7317.406227286129,46.115171909332275,7344.260941216406
46,7311.664169046792,47.1228461265564,7367.77546814988
47,7308.559632835192,48.12784004211426,7345.057962491165
48,7309.217962719951,49.12513208389282,7289.424905845539
49,7313.402810881221,50.13149809837341,7359.960039077684
50,7314.930324773199,51.13172888755798,7316.618531578042
51,7308.9402262411995,52.130626916885376,7300.8859884640415
52,7309.044714477432,53.13011908531189,7305.332950799397
53,7315.812832680814,54.13326287269592,7338.812192768144
54,7308.484683855521,55.13789081573486,7342.307934673373
55,7311.5407672762685,56.14097309112549,7334.076949450796
56,7301.316879218967,57.146812915802,7343.955289701276
57,7320.632408260773,58.150017976760864,7344.095481386672
58,7312.080889937626,59.15175199508667,7324.760172200551
59,7307.116057111805,60.15451407432556,7327.298890669325
60,7310.363580829464,61.15870499610901,7341.000742805281
61,7305.274251452805,62.163995027542114,7343.919381870447
62,7321.964944680463,63.15924406051636,7287.178530664539
63,7305.603270266423,64.16391205787659,7339.705807046911
64,7312.183686754982,65.16858696937561,7346.367498355165
65,7308.577120233751,66.17335486412048,7343.423646677813
66,7309.459859927534,67.18244004249573,7375.867606581663
67,7310.102162101425,68.18402099609375,7321.659094416511
68,7306.344236546275,69.18715000152588,7329.205827351432
